respid,party,stackid,votech,pid,pid_str,age,gndr,edu,lr_self,lr_party,lr_party_ches,euint_self,euint_party,euint_party_ches,ptv,stacked_vc,lr_dist,lr_dist_ches,euint_dist,euint_dist_ches,stacked_pid,stacked_pid_str,age_dich_yhat,age_cont_yhat,socdem_dich_yhat,socdem_cont_yhat
12778,1506,12778-1506,0,0,0,36,2,2,99,.38854042,.43125001,.5,.60604191,.67500001,.1,0,99,99,.10604191,.17500001,0,0,.064003974,.31623468,.031017343,.30122131
12778,1507,12778-1507,0,0,0,36,2,2,99,.78887701,.90526313,.5,.38956836,.19473684,.30000001,0,99,99,.11043164,.30526316,0,0,.039361149,.30450451,.033232834,.30835611
12784,1501,12784-1501,1501,1501,1,44,2,3,.3,.31963715,.32105261,.7,.55755055,.67894733,.69999999,1,.019637149,.02105261,.14244945,.02105267,1,1,.17088495,.34490967,.19840768,.36730513
12784,1502,12784-1502,1501,1501,1,44,2,3,.3,.73667377,.69473684,.7,.45579195,.48947367,.1,0,.43667376,.39473683,.24420805,.21052633,0,0,.046664823,.26986569,.050320424,.25863153
12784,1503,12784-1503,1501,1501,1,44,2,3,.3,.81542552,.87894738,.7,.39441913,.16842106,0,0,.5154255,.57894737,.30558085,.53157896,0,0,.26525342,.43850169,.22004764,.39681652
12784,1504,12784-1504,1501,1501,1,44,2,3,.3,.50609195,.47777778,.7,.46630952,.34736842,.1,0,.20609196,.17777778,.23369049,.35263157,0,0,.17519127,.40783516,.1713468,.39295864
12784,1505,12784-1505,1501,1501,1,44,2,3,.3,.14420828,.14444444,.7,.48329145,.5266667,.30000001,0,.15579171,.15555556,.21670856,.1733333,0,0,.021454824,.23528492,.013998494,.28241995
12784,1506,12784-1506,1501,1501,1,44,2,3,.3,.38854042,.43125001,.7,.60604191,.67500001,.5,0,.08854042,.13125001,.093958095,.024999987,0,0,.053201225,.28935853,.074131012,.34621185
12784,1507,12784-1507,1501,1501,1,44,2,3,.3,.78887701,.90526313,.7,.38956836,.19473684,0,0,.488877,.60526311,.31043163,.50526315,0,0,.042443335,.30365923,.05212618,.28258407
12785,1501,12785-1501,1501,1501,3,35,2,3,0,.31963715,.32105261,.7,.55755055,.67894733,1,1,.31963715,.32105261,.14244945,.02105267,1,3,.15902935,.3571153,.18016391,.36868337
